Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
1,3,2017-07-12,0,0,0,7,9,34,2,8,6,4,153,1,241,243,10,5,VI,28,2017
3,12,2017-07-13,0,2,0,4,44,30,4,2,6,208,16,2,343,347,5,9,VII,28,2017
0,0,2017-07-17,0,6,0,1,38,15,-2,270,16,285,62,0,708,706,13,2,GORs,29,2017
0,15,2017-07-20,3,6,0,32,19,43,3,13,15,578,67,9,831,834,8,23,I,29,2017
2,10,2017-07-21,0,1,0,3,80,35,3,19,4,513,28,1,738,741,8,34,III,29,2017
13,3,2017-07-17,10,12,0,79,17,111,158,76,24,407,742,14,1628,1786,33,87,IV,29,2017
0,4,2017-07-19,1,1,0,7,14,6,3,15,5,84,67,3,219,222,7,5,JillaniPark,29,2017
7,0,2017-07-21,4,1,0,2,11,11,80,11,6,233,40,6,342,422,6,4,PDLBC,29,2017
0,2,2017-07-19,1,0,0,7,3,2,-2,16,2,151,11,2,210,208,7,6,"Project Gulshan-e-Iqbal Park",29,2017
0,17,2017-07-18,1,6,0,10,25,78,0,14,8,554,265,7,1023,1023,6,32,V,29,2017
0,3,2017-07-19,0,1,0,4,8,20,0,18,6,4,147,1,243,243,16,15,VI,29,2017
0,0,2017-07-24,1,0,0,2,22,1,0,20,1,106,28,0,212,212,7,24,GIP,30,2017
0,20,2017-07-28,3,8,22,28,17,16,10,39,26,568,49,9,824,834,9,10,I,30,2017
1,5,2017-07-24,1,0,0,16,7,19,531,31,8,181,219,1,531,1062,13,29,II,30,2017
93,26,2017-07-25,0,1,22,9,165,48,655,39,8,951,98,2,1568,2223,15,91,III,30,2017
4,1,2017-07-23,5,8,0,17,8,26,1074,64,14,191,318,7,712,1786,17,32,IV,30,2017
0,0,2017-07-26,4,2,0,8,23,14,0,17,6,273,49,7,422,422,13,6,PDLBC,30,2017
